path,category,git_state,bytes,sha256
reports/figures/aws-managed-target-proposal.pdf,report-or-figure,tracked,39912,731aecdbe2c1ceb4129f0fc6619643f6f4eb7bf7207e0ddb4a768dad9bad5ef0
reports/figures/aws-managed-target-proposal.svg,report-or-figure,tracked,17495,968f49cb36842fc96dbebc45ace2f8daace9c9b69bdfbb13cc1c638075b93304
reports/figures/aws-r1-low-divergence-proposal.pdf,report-or-figure,tracked,45829,21254654ecbf876ea5868413b543cfc45cf8029f669d5929fa09f9cd1fae820c
reports/figures/aws-r1-low-divergence-proposal.svg,report-or-figure,tracked,15633,d1b4e198d2ad4e81c8b5a327266680164e35d8ac755dbfed8d76b5471e30d260
reports/figures/course-digital-twin-evaluation-program-007-development-summary.png,report-or-figure,tracked,70093,7e7f2e61f64e76ba698db1d03858064b7e183e06e3e9ce887418f68741168d23
reports/figures/course-digital-twin-evaluation-program-011-professor-summary.png,report-or-figure,tracked,71888,6c70a7d3b515311e022c07efca607a1acd13b47be762ee6ad5519cd4daa78344
reports/figures/course-digital-twin-logical-architecture.pdf,report-or-figure,tracked,71156,1184a0dec7e58946220561ff77329809ed13072436b7100af6c8ea0931101d18
reports/figures/course-digital-twin-logical-architecture.svg,report-or-figure,tracked,670138,e1f4a9d30d1fb3c7cf49e95a125bbf32d8489135bdafd0836ac564578dd0a8f0
reports/figures/course-digital-twin-system-context.pdf,report-or-figure,tracked,42047,387e7fd0ae56d824a461a238e8d647653003f96854a4fbadc53ef3eb06f32144
reports/figures/course-digital-twin-system-context.svg,report-or-figure,tracked,22295,ef4891a1ec782b49218d02f399729a5ac3bf51860b25d78dd9f0b5447cf7177d
reports/figures/course-digital-twin-use-cases.pdf,report-or-figure,tracked,85535,e5ef8721a54c6879a46a708f82401701d079a431937f0d11426f6bafbfe98007
reports/figures/course-digital-twin-use-cases.svg,report-or-figure,tracked,631485,4b9bce36516f58a67fc8db8ddda189300e8cd2468b26fa93fd882695efdcabf5
reports/figures/drawio/course-digital-twin-logical-architecture.drawio,report-or-figure,tracked,10858,86cdf8c5bf046edaf6ae6373f7f4143952f8fbc37d282201fd636ca28acf186c
reports/figures/drawio/course-digital-twin-use-cases.drawio,report-or-figure,tracked,11677,b1a1baebf2342f5a26825de2e2b0a7f7f21c20f970796c5ba478bed376e42633
reports/figures/drawio/governed-tutoring-activity.drawio,report-or-figure,tracked,15907,8d7fae3983ed7e6baad42b5f506e60c256179c8b87e1810979f3b45bb859f2da
reports/figures/drawio/professor-publication-sequence.drawio,report-or-figure,tracked,12499,f64a05d9bf7477719d693affb4612da823e08d033547b0b1fc2e232b2a42f925
reports/figures/evaluation-evolution-and-release-decision.pdf,report-or-figure,tracked,38341,ab050ff848cba1387a4d1c6245d8558158522e486fc552c67c712db3cc263dc5
reports/figures/evaluation-evolution-and-release-decision.svg,report-or-figure,tracked,13936,e86819c059c7cf458b144a7d51aad4ce3158c16e12fecc4e42eb2de09ffe0ae3
reports/figures/governed-tutoring-activity.pdf,report-or-figure,tracked,48794,fc94807fa9b363d4582d70672c0fa1f6bdcc371b3a72923acc67313ac11f56b3
reports/figures/governed-tutoring-activity.svg,report-or-figure,tracked,737974,4f39ef33cd17f5d205fbcc1e612fd95022cb0dfcf0950090d70c1912df6c27c3
reports/figures/governed-tutoring-authority-flow.pdf,report-or-figure,tracked,23466,0f0cf34f336678681471f1c9008ae7cdc73e1952178f7eba9ac1116ce2f59aea
reports/figures/governed-tutoring-authority-flow.svg,report-or-figure,tracked,17920,3cb7ac5f0aad5f94421e2bb416a4ed5599cfe74f0b97c0d0e27d0137024ecb55
